height,prop_time_lower_bound,node_count,size
1788246,0,1,63129
1788247,0,1,1875
1788248,0,1,79501
1788249,0,1,5211
1788250,0,1,5297
1788251,0,1,94
1788252,0,1,29854
1788253,0,1,94
1788254,0,1,4620
1788255,0,1,21704
1788256,0,1,36135
1788257,0,1,54393
1788258,0,1,20811
1788259,0,1,103
1788260,0,1,12538
1788261,0,1,53266
1788262,0,1,103
1788263,0,1,18104
1788264,0,1,50518
1788265,0,1,74238
1788266,0,1,2709
1788267,0,1,21145
1788268,0,1,35171
1788269,0,1,1876
1788270,0,1,49302
1788271,0,1,53807
1788272,0,1,1863
1788273,0,1,8027
1788274,0,1,103
1788275,0,1,37311
1788276,0,1,31891
1788277,0,1,33661
1788278,0,1,8138
1788279,0,1,94
1788280,0,1,21160
1788281,0,1,103
1788282,0,1,7186
1788283,0,1,15121
1788284,0,1,94
1788285,0,1,57876
1788286,0,1,8864
1788287,0,1,46542
1788288,0,1,21424
1788289,0,1,74628
1788290,0,1,50516
1788291,0,1,2718
1788292,0,1,16772
1788293,0,1,1864
1788294,0,1,94
1788295,0,1,1890
1788296,0,1,82917
1788297,0,1,94
1788298,0,1,17727
1788299,0,1,6241
1788300,0,1,48531
1788301,0,1,2705
1788302,0,1,16742
1788303,0,1,94
1788304,0,1,66669
1788305,0,1,1943
1788306,0,1,31579
1788307,0,1,1874
1788308,0,1,78052
1788309,0,1,103
1788310,0,1,103
1788311,0,1,51663
1788312,0,1,16901
1788313,0,1,104942
1788314,0,1,8831
1788315,0,1,49518
1788316,0,1,7076
1788317,0,1,45366
1788318,0,1,28506
1788319,0,1,27288
1788320,0,1,94
1788321,0,1,11707
1788322,0,1,26269
1788323,0,1,1876
1788324,0,1,45998
1788325,0,1,15729
1788326,0,1,45656
1788327,0,1,9426
1788328,0,1,50899
1788329,0,1,41224
1788330,0,1,103
1788331,0,1,8027
1788332,0,1,31380
1788333,0,1,4464
1788334,0,1,1865
1788335,0,1,27857
1788336,0,1,4515
1788337,0,1,13844
1788338,0,1,94
1788339,0,1,43595
1788340,0,1,20981
1788341,0,1,62695
1788342,0,1,8000
1788343,0,1,94
1788344,0,1,63732
1788345,0,1,7877
1788346,0,1,170406
1788347,0,1,36133
1788348,0,1,8878
1788349,0,1,46337
1788350,0,1,90
1788351,0,1,21058
1788352,0,1,58595
1788353,0,1,1875
1788354,0,1,11462
1788355,0,1,67515
1788356,0,1,30843
1788357,0,1,79422
1788358,0,1,21319
1788359,0,1,44660
1788360,0,1,103
1788361,0,1,73155
1788362,0,1,2693
1788363,0,1,94
1788364,0,1,47510
1788365,0,1,4466
1788366,0,1,94
1788367,0,1,33345
1788368,0,1,76804
1788369,0,1,26337
1788370,0,1,103
1788371,0,1,68123
1788372,0,1,90
1788373,0,1,6243
1788374,0,1,12305
1788375,0,1,2698
1788376,0,1,8972
1788377,0,1,103
1788378,0,1,77265
1788379,0,1,64959
1788380,0,1,50878
1788381,0,1,93167
1788382,0,1,6240
1788383,0,1,3658
1788384,0,1,103
1788385,0,1,4463
1788386,0,1,9598
1788387,0,1,10653
1788388,0,1,9723
1788389,0,1,22723
1788390,0,1,39517
1788391,0,1,4492
1788392,0,1,103
1788393,0,1,22941
1788394,0,1,13331
1788395,0,1,33349
1788396,0,1,15373
1788397,0,1,54053
1788398,0,1,18805
1788399,0,1,36738
1788400,0,1,94
1788401,0,1,3668
1788402,0,1,33506
1788403,0,1,3636
1788404,0,1,103
1788405,0,1,12280
1788406,0,1,19376
1788407,0,1,23692
1788408,0,1,10612
1788409,0,1,49937
1788410,0,1,11543
1788411,0,1,17639
1788412,0,1,44511
1788413,0,1,104853
1788414,0,1,24963
1788415,0,1,14019
1788416,0,1,1887
1788417,0,1,79665
1788418,0,1,1902
1788419,0,1,28974
1788420,0,1,6269
1788421,0,1,94
1788422,0,1,29828
1788423,0,1,103
1788424,0,1,11547
1788425,0,1,14300
1788426,0,1,103
1788427,0,1,101793
1788428,0,1,94
1788429,0,1,43042
1788430,0,1,103
1788431,0,1,1886
1788432,0,1,3634
1788433,0,1,22853
1788434,0,1,1865
1788435,0,1,1898
1788436,0,1,41833
1788437,0,1,20304
1788438,0,1,23856
1788439,0,1,16917
1788440,0,1,32929
1788441,0,1,54775
1788442,0,1,6237
1788443,0,1,4491
1788444,0,1,23682
1788445,0,1,94
1788446,0,1,27895
1788447,0,1,79826
1788448,0,1,22492
1788449,0,1,25628
1788450,0,1,94
1788451,0,1,29040
1788452,0,1,21173
1788453,0,1,24461
1788454,0,1,33066
1788455,0,1,5417
1788456,0,1,25502
1788457,0,1,1974
1788458,0,1,4470
1788459,0,1,11580
1788460,0,1,103
1788461,0,1,24665
1788462,0,1,3639
1788463,0,1,7931
1788464,0,1,2705
1788465,0,1,103
1788466,0,1,24177
1788467,0,1,1861
1788468,0,1,8854
1788469,0,1,42650
1788470,0,1,21106
1788471,0,1,7070
1788472,0,1,1866
1788473,0,1,36856
1788474,0,1,33575
1788475,0,1,94
1788476,0,1,7091
1788477,0,1,103
1788478,0,1,103
1788479,0,1,24600
1788480,0,1,41236
1788481,0,1,38222
1788482,0,1,15616
1788483,0,1,1865
1788484,0,1,3634
1788485,0,1,8164
1788486,0,1,103
1788487,0,1,1874
1788488,0,1,11479
1788489,0,1,8839
1788490,0,1,1889
1788491,0,1,12776
1788492,0,1,103
1788493,0,1,24502
1788494,0,1,28246
1788495,0,1,5300
1788496,0,1,74064
1788497,0,1,8621
1788498,0,1,44120
1788499,0,1,94
1788500,0,1,1887
1788501,0,1,3363
1788502,0,1,77318
1788503,0,1,1864
1788504,0,1,55137
1788505,0,1,94
1788506,0,1,28531
1788507,0,1,94
1788508,0,1,22415
1788509,0,1,15332
1788510,0,1,2703
1788511,0,1,7308
1788512,0,1,10454
1788513,0,1,94
1788514,0,1,94
1788515,0,1,56049
1788516,0,1,94
1788517,0,1,1872
1788518,0,1,5967
1788519,0,1,65581
1788520,0,1,94
1788521,0,1,40439
1788522,0,1,1867
1788523,0,1,80097
1788524,0,1,8750
1788525,0,1,38584
1788526,0,1,4772
1788527,0,1,2693
1788528,0,1,1865
1788529,0,1,5357
1788530,0,1,10071
1788531,0,1,103
1788532,0,1,4478
1788533,0,1,41285
1788534,0,1,1863
1788535,0,1,103
1788536,0,1,13314
1788537,0,1,94
1788538,0,1,10610
1788539,0,1,103
1788540,0,1,4494
1788541,0,1,3643
1788542,0,1,13020
1788543,0,1,66221
1788544,0,1,15516
1788545,0,1,103
1788546,0,1,10082
1788547,0,1,44337
1788548,0,1,90
1788549,0,1,103
1788550,0,1,19318
1788551,0,1,103
1788552,0,1,10550
1788553,0,1,6240
1788554,0,1,103
1788555,0,1,10636
1788556,0,1,1875
1788557,0,1,94
1788558,0,1,34590
1788559,0,1,1874
1788560,0,1,50433
1788561,0,1,94
1788562,0,1,4468
1788563,0,1,94
1788564,0,1,22197
1788565,0,1,8953
1788566,0,1,11460
1788567,0,1,94
1788568,0,1,105377
1788569,0,1,17814
1788570,0,1,14418
1788571,0,1,1865
1788572,0,1,103
1788573,0,1,64554
1788574,0,1,94
1788575,0,1,22733
1788576,0,1,94
1788577,0,1,8042
1788578,0,1,1874
1788579,0,1,8136
1788580,0,1,103
1788581,0,1,90
1788582,0,1,4491
1788583,0,1,94
1788584,0,1,94
1788585,0,1,14110
1788586,0,1,6880
1788587,0,1,48489
1788588,0,1,64467
1788589,0,1,2836
1788590,0,1,103
1788591,0,1,12421
1788592,0,1,103
1788593,0,1,17872
1788594,0,1,10634
1788595,0,1,5200
1788596,0,1,4464
1788597,0,1,1899
1788598,0,1,94
1788599,0,1,94
1788600,0,1,2702
1788601,0,1,21215
1788602,0,1,3648
1788603,0,1,15031
1788604,0,1,6238
1788605,0,1,1867
1788606,0,1,90
1788607,0,1,39771
1788608,0,1,1868
1788609,0,1,15903
1788610,0,1,94
1788611,0,1,103
1788612,0,1,25724
1788613,0,1,4589
1788614,0,1,24443
1788615,0,1,12454
1788616,0,1,90
1788617,0,1,103
1788618,0,1,103
1788619,0,1,30234
1788620,0,1,2744
1788621,0,1,1863
1788622,0,1,94
1788623,0,1,9229
1788624,0,1,1869
1788625,0,1,2774
1788626,0,1,1898
1788627,0,1,94
1788628,0,1,1900
1788629,0,1,94
1788630,0,1,94
1788631,0,1,9919
1788632,0,1,4462
1788633,0,1,1863
1788634,0,1,2692
1788635,0,1,94
1788636,0,1,103
1788637,0,1,4469
1788638,0,1,103
1788639,0,1,6267
1788640,0,1,9755
1788641,0,1,94
1788642,0,1,103
1788643,0,1,31034
1788644,0,1,7234
1788645,0,1,6194
1788646,0,1,3645
1788647,0,1,2694
1788648,0,1,2728
1788649,0,1,3524
1788650,0,1,103
1788651,0,1,10504
1788652,0,1,2710
1788653,0,1,9022
1788654,0,1,24389
1788655,0,1,11355
1788656,0,1,22972
1788657,0,1,11240
1788658,0,1,94
1788659,0,1,94
1788660,0,1,94
1788661,0,1,68542
1788662,0,1,94
1788663,0,1,7065
1788664,0,1,7218
1788665,0,1,103
1788666,0,1,1986
1788667,0,1,94
1788668,0,1,28586
1788669,0,1,94
1788670,0,1,103
1788671,0,1,103
1788672,0,1,1869
1788673,0,1,94
1788674,0,1,94
1788675,0,1,1865
1788676,0,1,3744
1788677,0,1,94
1788678,0,1,1867
1788679,0,1,94
1788680,0,1,16046
1788681,0,1,94
1788682,0,1,103
1788683,0,1,26239
1788684,0,1,94
1788685,0,1,6241
1788686,0,1,1867
1788687,0,1,18541
1788688,0,1,5234
1788689,0,1,6177
1788690,0,1,7920
1788691,0,1,1874
1788692,0,1,1865
1788693,0,1,7085
1788694,0,1,2690
1788695,0,1,7062
1788696,0,1,34642
1788697,0,1,1866
1788698,0,1,2692
1788699,0,1,103
1788700,0,1,94
1788701,0,1,5349
1788702,0,1,21040
1788703,0,1,103
1788704,0,1,40784
1788705,0,1,94
1788706,0,1,5298
1788707,0,1,20106
1788708,0,1,8843
1788709,0,1,94
1788710,0,1,103
1788711,0,1,8172
1788712,0,1,17482
1788713,0,1,94
1788714,0,1,7068
1788715,0,1,103
1788716,0,1,10768
1788717,0,1,103
1788718,0,1,3644
1788719,0,1,90
1788720,0,1,8733
1788721,0,1,94
1788722,0,1,13298
1788723,0,1,12265
1788724,0,1,11146
1788725,0,1,20924
1788726,0,1,90
1788727,0,1,103
1788728,0,1,94
1788729,0,1,2693
1788730,0,1,94
1788731,0,1,1876
1788732,0,1,24070
1788733,0,1,94
1788734,0,1,4466
1788735,0,1,103
1788736,0,1,15730
1788737,0,1,33177
1788738,0,1,65249
1788739,0,1,103
1788740,0,1,68167
1788741,0,1,94
1788742,0,1,7534
1788743,0,1,103
1788744,0,1,94
1788745,1403,2,4500
1788746,0,1,1862
1788747,0,1,5336
1788748,1260,2,94
1788749,0,1,91609
1788750,0,1,94
1788751,0,1,2695
1788752,0,1,5298
1788753,0,1,94
1788754,0,1,1863
1788755,0,1,2707
1788756,0,1,103
1788757,0,1,4473
1788758,0,1,103
1788759,0,1,4462
1788760,0,1,3631
1788761,0,1,9783
1788762,0,1,1864
1788763,0,1,1873
1788764,0,1,6236
1788765,0,1,94
1788766,0,1,4472
1788767,0,1,12439
1788768,0,1,2697
1788769,0,1,94
1788770,0,1,3649
1788771,0,1,10392
1788772,0,1,11434
1788773,0,1,10502
1788774,0,1,1874
1788775,0,1,103
1788776,0,1,12381
1788777,0,1,6249
1788778,0,1,1872
1788779,0,1,7133
1788780,0,1,48015
1788781,0,1,15759
1788782,0,1,2708
1788783,0,1,2693
1788784,0,1,7692
1788785,0,1,5339
1788786,0,1,94
1788787,0,1,94
1788788,0,1,3530
1788789,0,1,1872
1788790,0,1,2706
1788791,0,1,3873
1788792,0,1,103
1788793,0,1,103
1788794,0,1,1889
1788795,0,1,5227
1788796,0,1,94
1788797,0,1,94
1788798,0,1,2693
1788799,0,1,4462
1788800,0,1,103
1788801,0,1,103
1788802,0,1,94
1788803,0,1,15112
1788804,0,1,2699
1788805,0,1,11918
1788806,0,1,33253
1788807,0,1,28974
1788808,0,1,94
1788809,0,1,1875
1788810,0,1,90
1788811,0,1,103
1788812,0,1,103
1788813,0,1,20711
1788814,0,1,103
1788815,0,1,7072
1788816,0,1,9809
1788817,0,1,7875
1788818,0,1,14945
1788819,0,1,94
1788820,0,1,1885
1788821,0,1,1873
1788822,0,1,5301
1788823,0,1,94
1788824,0,1,7940
1788825,0,1,2702
1788826,0,1,2707
1788827,0,1,5304
1788828,0,1,7677
